joueur,equipe,poste,minutes,essais
Toul_ailie0,Toulouse,ailier,1199.0,5
Toul_arrie1,Toulouse,arriere,829.0,2
Toul_centr2,Toulouse,centre,967.0,1
Toul_trois3,Toulouse,troisieme_ligne,522.0,0
Toul_demi_4,Toulouse,demi_de_melee,479.0,0
Toul_ouver5,Toulouse,ouverture,326.0,0
Toul_deuxi6,Toulouse,deuxieme_ligne,545.0,1
Toul_premi7,Toulouse,premiere_ligne,646.0,0
Toul_ailie8,Toulouse,ailier,484.0,1
Toul_arrie9,Toulouse,arriere,941.0,3
Toul_centr10,Toulouse,centre,829.0,0
Toul_trois11,Toulouse,troisieme_ligne,1040.0,2
Toul_demi_12,Toulouse,demi_de_melee,779.0,1
Toul_ouver13,Toulouse,ouverture,1178.0,2
Toul_deuxi14,Toulouse,deuxieme_ligne,924.0,0
Toul_premi15,Toulouse,premiere_ligne,649.0,3
Bord_ailie0,Bordeaux,ailier,922.0,5
Bord_arrie1,Bordeaux,arriere,668.0,0
Bord_centr2,Bordeaux,centre,471.0,3
Bord_trois3,Bordeaux,troisieme_ligne,301.0,0
Bord_demi_4,Bordeaux,demi_de_melee,759.0,4
Bord_ouver5,Bordeaux,ouverture,770.0,0
Bord_deuxi6,Bordeaux,deuxieme_ligne,1071.0,1
Bord_premi7,Bordeaux,premiere_ligne,1140.0,1
Bord_ailie8,Bordeaux,ailier,894.0,4
Bord_arrie9,Bordeaux,arriere,1348.0,8
Bord_centr10,Bordeaux,centre,610.0,4
Bord_trois11,Bordeaux,troisieme_ligne,668.0,1
Bord_demi_12,Bordeaux,demi_de_melee,1252.0,0
Bord_ouver13,Bordeaux,ouverture,1170.0,1
Bord_deuxi14,Bordeaux,deuxieme_ligne,797.0,1
Bord_premi15,Bordeaux,premiere_ligne,329.0,0
La R_ailie0,La Rochelle,ailier,1232.0,6
La R_arrie1,La Rochelle,arriere,620.0,4
La R_centr2,La Rochelle,centre,965.0,4
La R_trois3,La Rochelle,troisieme_ligne,1207.0,3
La R_demi_4,La Rochelle,demi_de_melee,1179.0,3
La R_ouver5,La Rochelle,ouverture,970.0,2
La R_deuxi6,La Rochelle,deuxieme_ligne,383.0,0
