date,home,away,home_score,away_score,surface,neutral
2025-01-10,De Minaur,Tsitsipas,0,2,Hard,true
2025-01-10,Alcaraz,De Minaur,2,0,Hard,true
2025-01-10,Alcaraz,Tsitsipas,2,1,Hard,true
2025-01-11,Rune,Ruud,2,1,Clay,true
2025-01-11,Djokovic,Tsitsipas,2,0,Hard,true
2025-01-11,Alcaraz,Medvedev,2,1,Clay,true
2025-01-12,Zverev,Alcaraz,0,2,Hard,true
2025-01-12,Zverev,Alcaraz,1,2,Clay,true
2025-01-12,Tsitsipas,Medvedev,0,2,Clay,true
2025-01-13,Alcaraz,Rune,2,0,Hard,true
2025-01-13,De Minaur,Sinner,1,2,Hard,true
2025-01-13,Alcaraz,Rune,2,0,Hard,true
2025-01-14,Ruud,De Minaur,0,2,Clay,true
2025-01-14,Tsitsipas,Ruud,1,2,Grass,true
2025-01-14,Zverev,Ruud,2,0,Clay,true
2025-01-15,Fritz,De Minaur,2,0,Grass,true
2025-01-15,Tsitsipas,Medvedev,0,2,Hard,true
2025-01-15,Medvedev,Djokovic,0,2,Clay,true
2025-01-16,Sinner,Tsitsipas,2,1,Grass,true
2025-01-16,Medvedev,Ruud,1,2,Hard,true
2025-01-16,De Minaur,Medvedev,1,2,Grass,true
2025-01-17,Ruud,Zverev,1,2,Hard,true
2025-01-17,Medvedev,Tsitsipas,2,1,Clay,true
2025-01-17,Djokovic,Sinner,0,2,Hard,true
2025-01-18,Tsitsipas,Alcaraz,0,2,Grass,true
2025-01-18,Zverev,Sinner,0,2,Clay,true
2025-01-18,Fritz,Rune,0,2,Clay,true
2025-01-19,Sinner,Zverev,1,2,Hard,true
2025-01-19,Djokovic,Tsitsipas,2,0,Clay,true
2025-01-19,Sinner,Alcaraz,2,0,Grass,true
2025-01-20,Ruud,Medvedev,0,2,Hard,true
2025-01-20,Djokovic,Ruud,2,1,Hard,true
2025-01-20,Djokovic,Fritz,2,1,Clay,true
2025-01-21,Ruud,Sinner,0,2,Hard,true
2025-01-21,Fritz,Rune,2,1,Hard,true
2025-01-21,Sinner,Tsitsipas,2,1,Clay,true
2025-01-22,Ruud,Fritz,2,0,Clay,true
2025-01-22,Ruud,Alcaraz,0,2,Hard,true
2025-01-22,De Minaur,Djokovic,0,2,Clay,true
2025-01-23,Ruud,Fritz,0,2,Hard,true
2025-01-23,Ruud,De Minaur,2,0,Hard,true
2025-01-23,Ruud,Fritz,2,1,Hard,true
2025-01-24,Ruud,Djokovic,1,2,Hard,true
2025-01-24,Fritz,Medvedev,0,2,Hard,true
2025-01-24,Tsitsipas,Fritz,2,0,Hard,true
2025-01-25,Fritz,Medvedev,1,2,Clay,true
2025-01-25,Alcaraz,Tsitsipas,2,1,Grass,true
2025-01-25,Medvedev,Sinner,0,2,Hard,true
2025-01-26,Fritz,Tsitsipas,0,2,Hard,true
2025-01-26,Djokovic,Rune,2,1,Clay,true
2025-01-26,Djokovic,Ruud,2,1,Hard,true
2025-01-27,Ruud,De Minaur,2,1,Hard,true
2025-01-27,Tsitsipas,Alcaraz,0,2,Grass,true
2025-01-27,Ruud,Alcaraz,1,2,Clay,true
2025-01-28,Fritz,De Minaur,1,2,Clay,true
2025-01-28,De Minaur,Rune,0,2,Hard,true
2025-01-28,Alcaraz,De Minaur,2,1,Hard,true
2025-01-29,Rune,Alcaraz,1,2,Clay,true
2025-01-29,Fritz,Ruud,0,2,Clay,true
2025-01-29,Fritz,Tsitsipas,2,0,Hard,true
2025-01-30,Fritz,Alcaraz,1,2,Hard,true
2025-01-30,Sinner,De Minaur,2,1,Hard,true
2025-01-30,Sinner,Zverev,2,1,Hard,true
2025-01-31,Fritz,Sinner,1,2,Hard,true
2025-01-31,Tsitsipas,Zverev,0,2,Clay,true
2025-01-31,De Minaur,Tsitsipas,2,1,Hard,true
2025-02-01,De Minaur,Rune,0,2,Clay,true
2025-02-01,Ruud,Medvedev,0,2,Hard,true
2025-02-01,De Minaur,Zverev,0,2,Hard,true
2025-02-02,De Minaur,Rune,1,2,Hard,true
2025-02-02,Ruud,Zverev,2,1,Hard,true
2025-02-02,Sinner,Zverev,1,2,Clay,true
2025-02-03,Fritz,Djokovic,1,2,Hard,true
2025-02-03,Alcaraz,Ruud,2,1,Clay,true
2025-02-03,Ruud,Alcaraz,1,2,Hard,true
2025-02-04,Ruud,De Minaur,2,0,Clay,true
2025-02-04,Zverev,Rune,2,0,Hard,true
2025-02-04,Alcaraz,Sinner,0,2,Hard,true
2025-02-05,Medvedev,Alcaraz,1,2,Hard,true
2025-02-05,Alcaraz,Rune,2,1,Hard,true
2025-02-05,Alcaraz,Medvedev,2,1,Hard,true
2025-02-06,Ruud,Fritz,2,1,Hard,true
2025-02-06,Tsitsipas,Djokovic,0,2,Hard,true
2025-02-06,Rune,De Minaur,2,0,Hard,true
2025-02-07,Rune,Medvedev,0,2,Hard,true
2025-02-07,Medvedev,Alcaraz,0,2,Hard,true
2025-02-07,Zverev,De Minaur,2,0,Clay,true
2025-02-08,Sinner,Zverev,2,1,Clay,true
2025-02-08,Rune,Zverev,1,2,Clay,true
2025-02-08,Tsitsipas,Zverev,0,2,Hard,true
2025-02-09,Rune,Djokovic,0,2,Hard,true
2025-02-09,Fritz,De Minaur,2,0,Hard,true
2025-02-09,Sinner,Ruud,2,1,Hard,true
2025-02-10,Zverev,Fritz,2,0,Hard,true
2025-02-10,Medvedev,Ruud,2,0,Hard,true
2025-02-10,Ruud,Rune,0,2,Clay,true
2025-02-11,De Minaur,Sinner,1,2,Hard,true
2025-02-11,Sinner,Tsitsipas,2,0,Clay,true
2025-02-11,Tsitsipas,Ruud,1,2,Hard,true
2025-02-12,Zverev,Ruud,2,0,Hard,true
2025-02-12,Medvedev,Djokovic,1,2,Hard,true
2025-02-12,Rune,De Minaur,2,0,Clay,true
2025-02-13,Fritz,Alcaraz,0,2,Hard,true
2025-02-13,Medvedev,De Minaur,2,1,Hard,true
2025-02-13,Sinner,Zverev,1,2,Clay,true
2025-02-14,De Minaur,Ruud,0,2,Hard,true
2025-02-14,Ruud,Medvedev,2,0,Hard,true
2025-02-14,Zverev,Djokovic,1,2,Clay,true
2025-02-15,De Minaur,Ruud,1,2,Hard,true
2025-02-15,Zverev,Sinner,2,0,Hard,true
2025-02-15,De Minaur,Ruud,0,2,Hard,true
2025-02-16,Tsitsipas,De Minaur,1,2,Grass,true
2025-02-16,Tsitsipas,Djokovic,1,2,Clay,true
2025-02-16,Sinner,Medvedev,2,0,Clay,true
2025-02-17,De Minaur,Ruud,0,2,Hard,true
2025-02-17,Zverev,Tsitsipas,2,1,Hard,true
2025-02-17,Tsitsipas,Medvedev,0,2,Grass,true
2025-02-18,Sinner,Zverev,2,1,Hard,true
2025-02-18,Djokovic,Zverev,2,0,Hard,true
2025-02-18,Rune,Djokovic,0,2,Hard,true
2025-02-19,Djokovic,De Minaur,2,0,Clay,true
2025-02-19,Tsitsipas,Alcaraz,0,2,Grass,true
2025-02-19,Medvedev,Sinner,1,2,Hard,true
2025-02-20,Alcaraz,Rune,2,1,Hard,true
2025-02-20,Sinner,Fritz,2,0,Hard,true
2025-02-20,Tsitsipas,Rune,0,2,Hard,true
2025-02-21,Tsitsipas,Fritz,2,1,Clay,true
2025-02-21,Alcaraz,Rune,2,0,Hard,true
2025-02-21,Tsitsipas,Ruud,1,2,Clay,true
2025-02-22,Alcaraz,Fritz,2,0,Hard,true
2025-02-22,Zverev,Tsitsipas,2,0,Hard,true
2025-02-22,Zverev,Rune,2,0,Hard,true
2025-02-23,Fritz,Tsitsipas,2,1,Hard,true
2025-02-23,Fritz,Tsitsipas,2,1,Hard,true
2025-02-23,Medvedev,Sinner,0,2,Hard,true
2025-02-24,Zverev,De Minaur,2,1,Hard,true
2025-02-24,Rune,Tsitsipas,2,1,Hard,true
2025-02-24,Djokovic,Zverev,2,1,Hard,true
2025-02-25,Tsitsipas,Djokovic,1,2,Clay,true
2025-02-25,Ruud,Tsitsipas,2,0,Hard,true
2025-02-25,Sinner,Zverev,1,2,Clay,true
2025-02-26,Tsitsipas,Djokovic,1,2,Grass,true
2025-02-26,Tsitsipas,Rune,1,2,Clay,true
2025-02-26,Medvedev,Rune,1,2,Hard,true
2025-02-27,Alcaraz,Medvedev,2,1,Hard,true
2025-02-27,Djokovic,Sinner,2,0,Clay,true
2025-02-27,Ruud,Sinner,2,1,Grass,true
2025-02-28,Djokovic,Medvedev,2,0,Hard,true
2025-02-28,Sinner,Medvedev,2,0,Hard,true
2025-02-28,De Minaur,Tsitsipas,1,2,Hard,true
2025-03-01,Tsitsipas,Sinner,0,2,Hard,true
2025-03-01,Medvedev,De Minaur,0,2,Clay,true
2025-03-01,Djokovic,Fritz,2,1,Hard,true
2025-03-02,Tsitsipas,Rune,2,0,Clay,true
2025-03-02,De Minaur,Rune,0,2,Clay,true
2025-03-02,De Minaur,Alcaraz,1,2,Clay,true
2025-03-03,Tsitsipas,Sinner,1,2,Hard,true
2025-03-03,Ruud,Medvedev,0,2,Hard,true
2025-03-03,Djokovic,De Minaur,2,0,Clay,true
2025-03-04,Ruud,Zverev,2,1,Clay,true
2025-03-04,Fritz,Ruud,1,2,Clay,true
2025-03-04,Sinner,Djokovic,1,2,Clay,true
2025-03-05,Alcaraz,Medvedev,2,1,Clay,true
2025-03-05,Djokovic,Fritz,2,0,Hard,true
2025-03-05,Fritz,Rune,1,2,Hard,true
2025-03-06,Rune,De Minaur,2,1,Hard,true
2025-03-06,De Minaur,Ruud,1,2,Hard,true
2025-03-06,Fritz,De Minaur,1,2,Hard,true
2025-03-07,Sinner,Tsitsipas,2,0,Hard,true
2025-03-07,Alcaraz,Tsitsipas,2,0,Hard,true
2025-03-07,De Minaur,Sinner,0,2,Hard,true
2025-03-08,Djokovic,Ruud,2,0,Hard,true
2025-03-08,Ruud,Medvedev,2,1,Hard,true
